サン・バルテルミー島,206,bl,320.30428,430.48014,5
サントメ・プリンシペ民主共和国,182,st,850.89446,714.54095,1
ザンビア共和国,62,zm,191.51363,39.47321,1
サンピエール島・ミクロン島,208,pm,12.74025,273.90729,4
サンマリノ共和国,221,sm,151.27788,268.64722,3
シエラレオネ共和国,28,sl,365.30286,470.70505,1
ジブチ共和国,105,dj,855.43416,52.62259,1
ジブラルタル,225,gi,771.40530,508.81939,3
ジャージー,217,je,57.98761,508.67542,3
ジャマイカ,169,jm,456.32592,347.93889,5
シリア・アラブ共和国,72,sy,869.50365,182.58164,2
シンガポール共和国,231,sg,753.26456,18.39055,2
ジンバブエ共和国,135,zw,303.44328,449.1467,1
スイス連邦,17,ch,527.87689,145.23122,3
スウェーデン王国,39,se,839.40837,62.19828,3
スーダン共和国,1,sd,862.42597,286.54394,1
スペイン,118,es,556.57856,54.95256,3
スリナム共和国,66,sr,233.15664,288.3274,5
スリランカ民主社会主義共和国,136,lk,368.93413,930.40098,2
スロバキア共和国,133,sk,162.79624,152.96180,3
スロベニア共和国,144,si,308.86023,670.58826,3
スワジランド王国,155,sz,619.65748,172.35988,1
セーシェル共和国,194,sc,244.74463,676.22528,1
セネガル共和国,116,sn,932.91564,356.48536,1
セルビア共和国,14,rs,538.87915,257.12395,3
セントクリストファー・ネイビス連邦,204,kn,994.24896,802.17718,5
セントビンセントおよびグレナディーン諸島,198,vc,15.52998,296.4157,5
セントヘレナ・アセンションおよびトリスタンダクーニャ,216,sh,905.39535,152.34277,1
セントルシア,199,lc,827.48294,679.80531,5
ソマリア,32,so,251.57977,646.39144,1
ソロモン諸島,74,sb,60.43038,896.77290,6
タークス・カイコス諸島,197,tc,690.50154,494.73902,5
タイ王国,52,th,137.62501,110.59054,2
タジキスタン共和国,122,tj,749.76700,243.1934,2
タンザニア連合共和国,89,tz,734.90334,23.35126,1
チェコ共和国,68,cz,949.25855,785.86243,3
チャド共和国,69,td,322.35977,330.24115,1
チュニジア共和国,84,tn,257.34365,918.52541,1
チリ共和国,128,cl,857.94867,125.10827,5
ツバル,223,tv,701.70578,575.46853,6
デンマーク王国,59,dk,839.19772,482.43772,3
ドイツ連邦共和国,51,de,553.25633,234.70714,3
トーゴ共和国,117,tg,293.19243,989.99706,1
トケラウ,233,tk,752.82412,494.90549,6
ドミニカ共和国,35,do,688.80846,861.7949,5
ドミニカ国,186,dm,988.86906,520.91901,5
トリニダード・トバゴ共和国,174,tt,954.46660,118.99805,5
トルクメニスタン,141,tm,47.97975,572.2625,2
トルコ共和国,40,tr,381.26588,582.88152,3
トンガ王国,187,to,425.75165,50.23196,6
ナイジェリア連邦共和国,83,ng,991.33023,525.18163,1
ナウル共和国,224,nr,586.67069,122.41478,6
ナミビア共和国,86,na,21.27396,639.44569,1
ニウエ,207,nu,856.95881,110.88621,6
ニカラグア共和国,127,ni,369.37428,778.89452,5
ニジェール共和国,58,ne,637.47901,891.53652,1
ニューカレドニア,159,nc,264.84206,748.61387,6
ニュージーランド,44,nz,345.31459,198.87371,6
ネパール連邦民主共和国,149,np,937.27162,941.5839,2
ノーフォーク島,232,nf,498.76879,320.1158,6
ノルウェー王国,145,no,632.61098,279.9010,3
バーレーン王国,190,bh,654.99158,96.73047,2
ハイチ共和国,93,ht,605.87461,136.59937,5
パキスタン・イスラム共和国,9,pk,916.98242,365.49995,2
バチカン市国,228,va,329.38324,296.82786,3
パナマ共和国,76,pa,454.9221,990.47797,4
バヌアツ共和国,164,vu,79.2267,655.27967,6
バハマ国,163,bs,20.1595,181.75374,5
パプアニューギニア独立国,54,pg,107.85299,611.69572,6
バミューダ,222,bm,351.54184,899.4374,4
パラオ共和国,193,pw,299.98108,953.68539,6
パラグアイ共和国,80,py,507.79777,426.93381,5
バルバドス,196,bb,539.96394,466.15406,5
パレスチナ国,172,ps,469.87418,4.1678,2
ハンガリー共和国,120,hu,692.26012,605.36827,3
バングラデシュ人民共和国,34,bd,114.83891,438.87863,2
ピトケアン諸島,226,pn,998.54314,361.50741,6
フィジー共和国,160,fj,640.54002,268.78853,6
フィリピン共和国,109,ph,490.50939,602.19065,2
フィンランド共和国,71,fi,957.33756,275.81602,3
ブータン王国,158,bt,813.37922,106.1945,2
プエルトリコ,171,pr,299.24162,159.93481,5
フェロー諸島,181,fo,62.21533,399.59299,3
フォークランド諸島,165,fk,28.91455,939.30258,5
ブラジル連邦共和国,27,br,297.55453,957.43444,5
フランス共和国,6,fr,620.90183,821.28430,3
フランス領セント・マーチン島,219,mf,371.48996,201.58693,5
フランス領ポリネシア,176,pf,444.78846,579.44599,6
フランス領南方・南極地域,153,tf,986.43921,818.81858,6
ブルガリア共和国,103,bg,83.55934,738.42674,3
ブルキナファソ,5,bf,827.74023,532.68886,1
ブルネイ・ダルサラーム国,173,bn,243.5073,519.89008,2
ブルンジ共和国,104,bi,690.98745,116.8178,1
ベトナム社会主義共和国,91,vn,316.98877,450.12408,2
ベナン共和国,143,bj,747.73701,185.99714,1
ベネズエラ・ボリバル共和国,46,ve,349.15382,160.56128,5
ベラルーシ共和国,8,by,457.19143,40.59457,3
ベリーズ,26,bz,527.42398,453.58009,5
ペルー共和国,4,pe,960.81363,44.68942,5
ベルギー王国,100,be,135.59092,508.11862,3
ポーランド共和国,85,pl,137.23755,613.63405,3
ボスニア・ヘルツェゴビナ,94,ba,478.86893,368.99106,3
ボツワナ共和国,20,bw,174.2748,451.8317,5
ボリビア多民族国,13,bo,67.86120,554.48561,5
ポルトガル共和国,47,pt,139.98202,642.66014,3
ホンジュラス共和国,125,hn,574.96091,515.66557,5
マーシャル諸島共和国,212,mh,214.94680,969.30121,6
マケドニア共和国,19,mk,362.99073,624.30713,3
マダガスカル共和国,12,mg,348.58815,599.95755,1
マラウイ共和国,121,mw,278.71761,117.36426,1
マリ共和国,29,ml,143.73856,52.60056,1
マルタ共和国,201,mt,574.75438,133.44707,3
マレーシア,108,my,252.63547,472.4006,2
マン島,229,im,631.84223,685.41464,3
ミクロネシア連邦,189,fm,390.87692,81.58340,6
ミャンマー連邦共和国,63,mm,405.64684,12.16466,2
メキシコ合衆国,24,mx,785.74620,480.2424,5
モーリシャス共和国,180,mu,699.73828,555.58181,1
モーリタニア・イスラム共和国,49,mr,128.99981,43.72659,1
モザンビーク共和国,42,mz,863.709,971.55920,1
モナコ公国,227,mc,796.53667,77.47942,3
モルディブ共和国,202,mv,795.76849,653.71266,2
モルドバ共和国,146,md,766.9631,724.99864,3
モロッコ王国,129,ma,726.55305,933.1817,1
モンゴル国,157,mn,971.86971,335.90142,2
モンテネグロ,112,me,422.1505,873.68036,3
モントセラト,205,ms,379.85920,276.11855,5
ヨルダン・ハシミテ王国,23,jo,885.61690,157.62641,2
ラオス人民民主共和国,138,la,208.6549,92.30639,2
ラトビア共和国,60,lv,45.64207,595.69244,3
リトアニア共和国,134,lt,50.25350,176.52783,3
リビア国,7,ly,715.80241,68.91273,1
リヒテンシュタイン公国,214,li,521.2256,267.83100,3
リベリア共和国,130,lr,478.8093,502.63969,1
ルーマニア,61,ro,971.85545,480.52145,3
ルクセンブルク大公国,178,lu,550.90499,262.90338,3
ルワンダ共和国,114,rw,17.48172,100.97710,1
レソト王国,102,ls,73.52252,630.99718,1
レバノン共和国,148,lb,941.81372,243.7185,2
ロシア連邦,92,ru,27.99057,902.46233,3
赤道ギニア共和国,101,gq,685.50830,836.26067,1
大韓民国,124,kr,749.36485,278.30899,2
中央アフリカ共和国,132,cf,859.29043,232.99819,1
中華人民共和国,96,cn,551.27308,828.93424,2
中華民国,22,tw,948.403,988.76500,2
朝鮮民主主義人民共和国,139,kp,420.46604,461.50414,2
東ティモール民主共和国,162,tl,230.99770,698.90927,2
南アフリカ共和国,87,za,88.90692,821.2077,1
南スーダン共和国,2,ss,885.72120,368.22219,1
南極大陸,154,aq,643.27742,241.51035,6
日本国,43,jp,495.58656,867.22018,2
北マリアナ諸島,192,mp,309.98008,932.32193,6
